receptor,rep,simID,y,family,label,traj_file,top_file,graph_file,scalar_file,tica_file,n_frames_total,traj_id,chunk_file,fold,split
Adenosine_receptor_A1~5UEN_Z,1,21,0.0,Adenosine,single_state,Adenosine_receptor_A1~5UEN_Z~unknown~10270_trj_21.xtc,Adenosine_receptor_A1~5UEN_Z~unknown~10267_dyn_21.psf,Adenosine_receptor_A1_5UEN_Z_rep1_21.npy,Adenosine_receptor_A1_5UEN_Z_sim21_rep1.npy,Adenosine_receptor_A1_5UEN_Z_sim21_rep1.npy,2500,Adenosine_receptor_A1_5UEN_Z_rep1_21,Adenosine_receptor_A1_5UEN_Z_sim21_rep1.npy,0,train
Adenosine_receptor_A2a~2YDO_A,1,30,1.0,Adenosine,multi_state,Adenosine_receptor_A2a~2YDO_A~unknown~10341_trj_30.xtc,Adenosine_receptor_A2a~2YDO_A~unknown~10345_dyn_30.psf,Adenosine_receptor_A2a_2YDO_A_rep1_30.npy,Adenosine_receptor_A2a_2YDO_A_sim30_rep1.npy,Adenosine_receptor_A2a_2YDO_A_sim30_rep1.npy,2500,Adenosine_receptor_A2a_2YDO_A_rep1_30,Adenosine_receptor_A2a_2YDO_A_sim30_rep1.npy,0,train
Adenosine_receptor_A2a~2YDO_A,1,31,0.0,Adenosine,single_state,Adenosine_receptor_A2a~2YDO_A~unknown~10350_trj_31.xtc,Adenosine_receptor_A2a~2YDO_A~unknown~10354_dyn_31.psf,Adenosine_receptor_A2a_2YDO_A_rep1_31.npy,Adenosine_receptor_A2a_2YDO_A_sim31_rep1.npy,Adenosine_receptor_A2a_2YDO_A_sim31_rep1.npy,1750,Adenosine_receptor_A2a_2YDO_A_rep1_31,Adenosine_receptor_A2a_2YDO_A_sim31_rep1.npy,0,train
Adenosine_receptor_A2a~2YDV_A,1,32,1.0,Adenosine,multi_state,Adenosine_receptor_A2a~2YDV_A~unknown~10360_trj_32.xtc,Adenosine_receptor_A2a~2YDV_A~unknown~10363_dyn_32.psf,Adenosine_receptor_A2a_2YDV_A_rep1_32.npy,Adenosine_receptor_A2a_2YDV_A_sim32_rep1.npy,Adenosine_receptor_A2a_2YDV_A_sim32_rep1.npy,2250,Adenosine_receptor_A2a_2YDV_A_rep1_32,Adenosine_receptor_A2a_2YDV_A_sim32_rep1.npy,0,train
Adenosine_receptor_A2a~2YDV_A,1,33,1.0,Adenosine,multi_state,Adenosine_receptor_A2a~2YDV_A~unknown~10366_trj_33.xtc,Adenosine_receptor_A2a~2YDV_A~unknown~10371_dyn_33.psf,Adenosine_receptor_A2a_2YDV_A_rep1_33.npy,Adenosine_receptor_A2a_2YDV_A_sim33_rep1.npy,Adenosine_receptor_A2a_2YDV_A_sim33_rep1.npy,2500,Adenosine_receptor_A2a_2YDV_A_rep1_33,Adenosine_receptor_A2a_2YDV_A_sim33_rep1.npy,0,train
Adenosine_receptor_A2a~3QAK_A,1,34,0.0,Adenosine,single_state,Adenosine_receptor_A2a~3QAK_A~unknown~10374_trj_34.xtc,Adenosine_receptor_A2a~3QAK_A~unknown~10378_dyn_34.psf,Adenosine_receptor_A2a_3QAK_A_rep1_34.npy,Adenosine_receptor_A2a_3QAK_A_sim34_rep1.npy,Adenosine_receptor_A2a_3QAK_A_sim34_rep1.npy,2500,Adenosine_receptor_A2a_3QAK_A_rep1_34,Adenosine_receptor_A2a_3QAK_A_sim34_rep1.npy,0,train
Adenosine_receptor_A2a~3REY_A,1,35,0.0,Adenosine,single_state,Adenosine_receptor_A2a~3REY_A~unknown~10386_trj_35.xtc,Adenosine_receptor_A2a~3REY_A~unknown~10383_dyn_35.psf,Adenosine_receptor_A2a_3REY_A_rep1_35.npy,Adenosine_receptor_A2a_3REY_A_sim35_rep1.npy,Adenosine_receptor_A2a_3REY_A_sim35_rep1.npy,2500,Adenosine_receptor_A2a_3REY_A_rep1_35,Adenosine_receptor_A2a_3REY_A_sim35_rep1.npy,0,train
Adenosine_receptor_A2a~3REY_A,1,36,0.0,Adenosine,single_state,Adenosine_receptor_A2a~3REY_A~unknown~10398_trj_36.xtc,Adenosine_receptor_A2a~3REY_A~unknown~10395_dyn_36.psf,Adenosine_receptor_A2a_3REY_A_rep1_36.npy,Adenosine_receptor_A2a_3REY_A_sim36_rep1.npy,Adenosine_receptor_A2a_3REY_A_sim36_rep1.npy,2500,Adenosine_receptor_A2a_3REY_A_rep1_36,Adenosine_receptor_A2a_3REY_A_sim36_rep1.npy,0,train
Adenosine_receptor_A2a~3RFM_A,1,38,0.0,Adenosine,single_state,Adenosine_receptor_A2a~3RFM_A~unknown~10414_trj_38.xtc,Adenosine_receptor_A2a~3RFM_A~38~10411_dyn_38.psf,Adenosine_receptor_A2a_3RFM_A_rep1_38.npy,Adenosine_receptor_A2a_3RFM_A_sim38_rep1.npy,Adenosine_receptor_A2a_3RFM_A_sim38_rep1.npy,2500,Adenosine_receptor_A2a_3RFM_A_rep1_38,Adenosine_receptor_A2a_3RFM_A_sim38_rep1.npy,0,train
Adenosine_receptor_A2a~3UZA_A,2,39,1.0,Adenosine,multi_state,Adenosine_receptor_A2a~3UZA_A~unknown~10420_trj_39.xtc,Adenosine_receptor_A2a~3UZA_A~39~10419_dyn_39.psf,Adenosine_receptor_A2a_3UZA_A_rep2_39.npy,Adenosine_receptor_A2a_3UZA_A_sim39_rep2.npy,Adenosine_receptor_A2a_3UZA_A_sim39_rep2.npy,2500,Adenosine_receptor_A2a_3UZA_A_rep2_39,Adenosine_receptor_A2a_3UZA_A_sim39_rep2.npy,0,train
