protein,pdbid,state,trajectory_url,topology_url,model_url
Beta-2_adrenergic_receptor,6OBA,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1130/18627_trj_1130.xtc,https://gpcrmd.org/dynadb/files/Dynamics//dyn1130/18624_dyn_1130.psf,
Neurotensin_receptor_type_1,4XEE.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11663_trj_177.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11669_dyn_177.psf,
unknown,3W5A,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1514/19457_trj_1310.dcd,https://gpcrmd.org/dynadb/files/Dynamics//dyn1514/19459_dyn_1310.psf,
unknown,8J22,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2681/25504_trj_2330.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2681/25496_dyn_2330.psf,
Corticotropin-releasing_factor_receptor_1,4K5Y.C,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10911_trj_95.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10914_dyn_95.psf,
P2Y_purinoceptor_12,4NTJ,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15198_trj_716.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15195_dyn_716.psf,
unknown,9CLW,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2655/25421_trj_2304.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2655/25418_dyn_2304.psf,
Type-1_angiotensin_II_receptor,4ZUD.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11380_trj_146.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11383_dyn_146.psf,
Adenosine_receptor_A2a,3UZA.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10420_trj_39.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10419_dyn_39.psf,
unknown,6KPF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2572/25054_trj_2246.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2572/25055_dyn_2246.psf,
Muscarinic_acetylcholine_receptor_M2,4MQT.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10705_trj_72.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10710_dyn_72.psf,
Guanine_nucleotide-binding_protein_G(s)_subunit_alpha_isoforms_short,6NBF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/12159_trj_238.xtc,https://gpcrmd.org/dynadb/files/Dynamics/12161_dyn_238.psf,
