protein,pdbid,state,trajectory_url,topology_url,model_url
OPRM1,5C1M.A,active,https://gpcrmd.org/dynadb/files/Dynamics/11423_trj_151.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11427_dyn_151.psf,https://gpcrmd.org/dynadb/files/Dynamics/11426_dyn_151.pdb
ADRB2,3NYA.A,inactive,https://www.gpcrmd.org/dynadb/files/Dynamics/10953_trj_100.xtc,https://www.gpcrmd.org/dynadb/files/Dynamics/10958_dyn_100.psf,https://www.gpcrmd.org/dynadb/files/Dynamics/10957_dyn_100.pdb
ADRB2,3NYA.A,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10954_trj_100.xtc,,
ADRB2,3NYA.A,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10955_trj_100.xtc,,
ADRB2,2RH1,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10185_trj_11.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10188_dyn_11.psf,https://gpcrmd.org/dynadb/files/Dynamics/10189_dyn_11.pdb
ADRB2,3SN6,active,https://gpcrmd.org/dynadb/files/Dynamics//dyn1374/19012_trj_1209.xtc,https://gpcrmd.org/dynadb/files/Dynamics//dyn1374/19009_dyn_1209.top,https://gpcrmd.org/dynadb/files/Dynamics/dyn1374/tmp_dyn_0_1374.pdb
ADRB1,2YCW,inactive,https://gpcrmd.org/dynadb/files/Dynamics/11114_trj_56.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11120_dyn_56.psf,https://gpcrmd.org/dynadb/files/Dynamics/11117_dyn_56.pdb
ADRB1,7BVQ,active,,,
CHRM2,3UON,inactive,https://gpcrmd.org/dynadb/files/Dynamics/11054_trj_111.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11058_dyn_111.psf,https://gpcrmd.org/dynadb/files/Dynamics/11057_dyn_111.pdb
CHRM2,4MQT,active,https://gpcrmd.org/dynadb/files/Dynamics/10705_trj_72.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10710_dyn_72.psf,https://gpcrmd.org/dynadb/files/Dynamics/10711_dyn_72.pdb
OPRM1,4DKL,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10612_trj_61.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10615_dyn_61.psf,https://gpcrmd.org/dynadb/files/Dynamics/10616_dyn_61.pdb
OPRM1,5C1M,active,https://gpcrmd.org/dynadb/files/Dynamics/11423_trj_151.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11427_dyn_151.psf,https://gpcrmd.org/dynadb/files/Dynamics/11426_dyn_151.pdb
OPRK1,4DJH,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10592_trj_59.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10595_dyn_59.psf,https://gpcrmd.org/dynadb/files/Dynamics/10596_dyn_59.pdb
OPRK1,6B73,active,,,
OPRD1,4N6H,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10170_trj_8.dcd,https://gpcrmd.org/dynadb/files/Dynamics/10171_dyn_8.psf,https://gpcrmd.org/dynadb/files/Dynamics/10172_dyn_8.pdb
OPRD1,6PT2,active,,,
ADORA2A,3EML,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10166_trj_7.dcd,https://gpcrmd.org/dynadb/files/Dynamics/10167_dyn_7.psf,https://gpcrmd.org/dynadb/files/Dynamics/10168_dyn_7.pdb
ADORA2A,5G53,active,https://gpcrmd.org/dynadb/files/Dynamics/10488_trj_47.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10493_dyn_47.psf,https://gpcrmd.org/dynadb/files/Dynamics/10494_dyn_47.pdb
ADORA1,5UEN,inactive,https://gpcrmd.org/dynadb/files/Dynamics/10270_trj_21.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10267_dyn_21.psf,https://gpcrmd.org/dynadb/files/Dynamics/10266_dyn_21.pdb
ADORA1,6D9H,active,
